,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Saint-Georges,GF,72.18,broken clouds,3.9,-51.8,Caz-Calé
411,São Gabriel da Cachoeira,BR,72.21,light rain,-0.13,-67.09,Casa de Hóspedes do CFRN/5ºBIS
412,Marsh Harbour,BS,72.25,clear sky,26.54,-77.06,Lofty Fig Villas
413,Cockburn Town,TC,72.27,few clouds,21.46,-71.14,The Salt Raker Inn
414,Merowe,SD,72.28,overcast clouds,18.48,31.82,Merowe Land
415,Santa Rosa,BO,72.3,overcast clouds,-14.17,-66.88,No hotel found
416,Quibdó,CO,72.41,light rain,5.69,-76.66,camino real
417,Barão de Melgaço,BR,72.54,broken clouds,-16.19,-55.97,No hotel found
418,Río Tercero,AR,72.81,clear sky,-32.17,-64.11,hotel Argentino
419,Atar,MR,72.82,clear sky,20.52,-13.05,فندق سكليل
420,Kahului,US,72.84,clear sky,20.89,-156.47,Maui Seaside Hotel
421,Alvorada,BR,72.95,overcast clouds,-12.48,-49.12,No hotel found
422,Jacareacanga,BR,72.95,overcast clouds,-6.22,-57.75,Hotel São Cristovão
423,Paita,PE,72.97,light rain,-5.09,-81.11,Victor's
424,Alenquer,BR,73.0,overcast clouds,-1.94,-54.74,No hotel found
425,Iguape,BR,73.0,light rain,-24.71,-47.56,Pousada dos Lampiões
426,Rio Grande,BR,73.02,clear sky,-32.03,-52.1,Hotel Swan Expres
427,Carauari,BR,73.06,overcast clouds,-4.88,-66.9,No hotel found
428,Nova Olímpia,BR,73.08,overcast clouds,-14.8,-57.29,Olímpia Hotel
429,‘Āhuimanu,US,73.11,broken clouds,21.44,-157.84,No hotel found
430,Sechura,PE,73.13,light rain,-5.56,-80.82,Hospedaje Costa Bella
431,Santa Isabel Rio Negro,BR,73.15,moderate rain,-0.41,-65.02,Hotel Maikon
432,Upata,VE,73.18,overcast clouds,8.01,-62.4,Hotel Garibardi
433,Itaituba,BR,73.24,overcast clouds,-4.28,-55.98,TG Hotel
434,Brandon,US,73.26,clear sky,27.94,-82.29,Brandon Motor Lodge
